"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\admin\src\App.jsx", "JavaScript JSX", 0, 0, 21, 1, 22
"c:\Users\TBG\Documents\wappy\admin\src\components\AuthContainer.jsx", "JavaScript JSX", 0, 0, 19, 1, 20
"c:\Users\TBG\Documents\wappy\admin\src\components\AuthField.jsx", "JavaScript JSX", 0, 0, 20, 1, 21
"c:\Users\TBG\Documents\wappy\admin\src\components\ListItem.jsx", "JavaScript JSX", 0, 0, 24, 1, 25
"c:\Users\TBG\Documents\wappy\admin\src\main.jsx", "JavaScript JSX", 0, 0, 17, 1, 18
"c:\Users\TBG\Documents\wappy\admin\src\pages\ErrorPage.jsx", "JavaScript JSX", 0, 0, 15, 1, 16
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthHooks.js", "JavaScript", 0, 0, 23, 0, 23
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthPage.jsx", "JavaScript JSX", 0, 0, 28, 1, 29
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthSlice.js", "JavaScript", 0, 0, 24, 1, 25
"c:\Users\TBG\Documents\wappy\admin\src\pages\dashboard\DashboardPage.jsx", "JavaScript JSX", 0, 0, 31, 1, 32
"c:\Users\TBG\Documents\wappy\admin\src\pages\dashboard\DashboardSlice.js", "JavaScript", 0, 0, 21, 1, 22
"c:\Users\TBG\Documents\wappy\admin\src\util\axiosConfig.js", "JavaScript", 0, 0, 21, 1, 22
"c:\Users\TBG\Documents\wappy\admin\src\util\globalSlice.js", "JavaScript", 0, 0, 18, 1, 19
"c:\Users\TBG\Documents\wappy\admin\src\util\persist.js", "JavaScript", 0, 0, 22, 1, 23
"c:\Users\TBG\Documents\wappy\admin\src\util\routerHooks.js", "JavaScript", 0, 0, 21, 1, 22
"c:\Users\TBG\Documents\wappy\admin\src\util\theme.js", "JavaScript", 0, 0, 35, 1, 36
"Total", "-", 0, 0, 360, 15, 375
